Date,Narration,Withdrawal,Deposit,Balance,Category
01-05-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,203500,Income
02-05-2025,NEFT DR-RENT-PROP MGMT,22000,,181500,Housing
03-05-2025,ACH DR-HDFC HOME LOAN EMI,28500,,153000,EMI
05-05-2025,ACH DR-SBI MF SIP GROWTH,10000,,143000,Investments
07-05-2025,BILLPAY-CREDIT CARD HDFC,20238,,122762,Bills
08-05-2025,UPI/NETFLIX.COM,649,,122113,Entertainment
08-05-2025,UPI/SPOTIFY,119,,121994,Entertainment
10-05-2025,UPI/SWIGGY,224,,121770,Food
11-05-2025,UPI/AMAZON PAY,3145,,118625,Shopping
11-05-2025,UPI/DMART,2178,,116447,Groceries
11-05-2025,UPI/PETROL PUMP HP,2110,,114337,Transport
12-05-2025,BESCOM ELECTRICITY BILL,1214,,113123,Utilities
12-05-2025,UPI/FLIPKART,5219,,107904,Shopping
12-05-2025,UPI/MCDONALDS,357,,107547,Food
13-05-2025,UPI/DMART,713,,106834,Groceries
13-05-2025,UPI/ZOMATO,606,,106228,Food
15-05-2025,UPI/JIO PREPAID RECHARGE,749,,105479,Utilities
15-05-2025,UPI/SWIGGY,508,,104971,Food
15-05-2025,UPI/PETROL PUMP HP,1568,,103403,Transport
16-05-2025,UPI/MCDONALDS,401,,103002,Food
18-05-2025,UPI/DOMINOS,436,,102566,Food
18-05-2025,UPI/MCDONALDS,433,,102133,Food
18-05-2025,UPI/SWIGGY,295,,101838,Food
18-05-2025,UPI/UBER TRIP,352,,101486,Transport
20-05-2025,UPI/HOSPITAL,3029,,98457,Health
21-05-2025,UPI/BIGBASKET,3088,,95369,Groceries
21-05-2025,UPI/MYNTRA,1239,,94130,Shopping
22-05-2025,UPI/AMAZON PAY,1612,,92518,Shopping
22-05-2025,UPI/APOLLO PHARMACY,433,,92085,Health
22-05-2025,UPI/BIGBASKET,1013,,91072,Groceries
23-05-2025,UPI/MCDONALDS,227,,90845,Food
26-05-2025,UPI/ZOMATO,561,,90284,Food
28-05-2025,UPI/DMART,942,,89342,Groceries
30-05-2025,UPI/DMART,1923,,87419,Groceries
01-06-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,212419,Income
02-06-2025,NEFT DR-RENT-PROP MGMT,22000,,190419,Housing
03-06-2025,ACH DR-HDFC HOME LOAN EMI,28500,,161919,EMI
05-06-2025,ACH DR-SBI MF SIP GROWTH,10000,,151919,Investments
07-06-2025,BILLPAY-CREDIT CARD HDFC,15542,,136377,Bills
08-06-2025,UPI/NETFLIX.COM,649,,135728,Entertainment
08-06-2025,UPI/SPOTIFY,119,,135609,Entertainment
10-06-2025,UPI/FLIPKART,1204,,134405,Shopping
10-06-2025,UPI/MCDONALDS,388,,134017,Food
10-06-2025,UPI/MYNTRA,2417,,131600,Shopping
12-06-2025,BESCOM ELECTRICITY BILL,1316,,130284,Utilities
13-06-2025,UPI/DMART,1175,,129109,Groceries
13-06-2025,UPI/SWIGGY,252,,128857,Food
14-06-2025,UPI/BLINKIT,637,,128220,Groceries
14-06-2025,UPI/CAFE COFFEE DAY,194,,128026,Food
14-06-2025,UPI/MYNTRA,1147,,126879,Shopping
15-06-2025,UPI/JIO PREPAID RECHARGE,749,,126130,Utilities
16-06-2025,UPI/APOLLO PHARMACY,899,,125231,Health
17-06-2025,UPI/HOSPITAL,1174,,124057,Health
18-06-2025,NEFT DR-INSURANCE LIC PREMIUM,5200,,118857,EMI
19-06-2025,UPI/FLIPKART,1893,,116964,Shopping
20-06-2025,UPI/MCDONALDS,224,,116740,Food
20-06-2025,UPI/PETROL PUMP HP,642,,116098,Transport
21-06-2025,UPI/CAFE COFFEE DAY,181,,115917,Food
22-06-2025,UPI/CAFE COFFEE DAY,368,,115549,Food
22-06-2025,UPI/CAFE COFFEE DAY,287,,115262,Food
23-06-2025,UPI/MCDONALDS,464,,114798,Food
23-06-2025,UPI/ZOMATO,558,,114240,Food
24-06-2025,IRCTC TICKET BOOKING,2118,,112122,Transport
24-06-2025,UPI/BLINKIT,303,,111819,Groceries
25-06-2025,UPI/AMAZON PAY,3764,,108055,Shopping
25-06-2025,UPI/APOLLO PHARMACY,375,,107680,Health
26-06-2025,UPI/CAFE COFFEE DAY,190,,107490,Food
26-06-2025,UPI/DMART,2253,,105237,Groceries
26-06-2025,UPI/ZOMATO,496,,104741,Food
27-06-2025,ATM WDL-XXXX1234,3381,,101360,General
27-06-2025,UPI/BIGBASKET,2827,,98533,Groceries
27-06-2025,UPI/BLINKIT,1158,,97375,Groceries
27-06-2025,UPI/FLIPKART,1492,,95883,Shopping
27-06-2025,UPI/ZOMATO,523,,95360,Food
28-06-2025,UPI/AMAZON PAY,4288,,91072,Shopping
29-06-2025,UPI/MYNTRA,1942,,89130,Shopping
30-06-2025,ATM WDL-XXXX1234,2353,,86777,General
30-06-2025,UPI/BIGBASKET,1606,,85171,Groceries
30-06-2025,UPI/RAPIDO,95,,85076,Transport
01-07-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,210076,Income
02-07-2025,NEFT DR-RENT-PROP MGMT,22000,,188076,Housing
03-07-2025,ACH DR-HDFC HOME LOAN EMI,28500,,159576,EMI
05-07-2025,ACH DR-SBI MF SIP GROWTH,10000,,149576,Investments
07-07-2025,BILLPAY-CREDIT CARD HDFC,19677,,129899,Bills
08-07-2025,UPI/NETFLIX.COM,649,,129250,Entertainment
08-07-2025,UPI/SPOTIFY,119,,129131,Entertainment
11-07-2025,UPI/AMAZON PAY,2817,,126314,Shopping
11-07-2025,UPI/CAFE COFFEE DAY,309,,126005,Food
11-07-2025,UPI/MYNTRA,2820,,123185,Shopping
11-07-2025,UPI/SWIGGY,369,,122816,Food
12-07-2025,ATM WDL-XXXX1234,6051,,116765,General
12-07-2025,ATM WDL-XXXX1234,4515,,112250,General
12-07-2025,BESCOM ELECTRICITY BILL,1690,,110560,Utilities
12-07-2025,UPI/BIGBASKET,3301,,107259,Groceries
12-07-2025,UPI/ZOMATO,466,,106793,Food
13-07-2025,UPI/DOMINOS,487,,106306,Food
13-07-2025,UPI/MCDONALDS,168,,106138,Food
14-07-2025,UPI/FLIPKART,1625,,104513,Shopping
15-07-2025,UPI/BIGBASKET,1823,,102690,Groceries
15-07-2025,UPI/BLINKIT,666,,102024,Groceries
15-07-2025,UPI/CAFE COFFEE DAY,198,,101826,Food
15-07-2025,UPI/JIO PREPAID RECHARGE,749,,101077,Utilities
16-07-2025,UPI/CAFE COFFEE DAY,146,,100931,Food
16-07-2025,UPI/RELIANCE FRESH,1351,,99580,Groceries
17-07-2025,UPI/CAFE COFFEE DAY,340,,99240,Food
18-07-2025,UPI/RELIANCE FRESH,1419,,97821,Groceries
19-07-2025,UPI/RELIANCE FRESH,865,,96956,Groceries
21-07-2025,UPI/CAFE COFFEE DAY,239,,96717,Food
25-07-2025,ATM WDL-XXXX1234,5017,,91700,General
26-07-2025,UPI/HOSPITAL,740,,90960,Health
27-07-2025,UPI/MYNTRA,2587,,88373,Shopping
27-07-2025,UPI/ZOMATO,469,,87904,Food
28-07-2025,UPI/APOLLO PHARMACY,409,,87495,Health
01-08-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,212495,Income
02-08-2025,NEFT DR-RENT-PROP MGMT,22000,,190495,Housing
03-08-2025,ACH DR-HDFC HOME LOAN EMI,28500,,161995,EMI
05-08-2025,ACH DR-SBI MF SIP GROWTH,10000,,151995,Investments
07-08-2025,BILLPAY-CREDIT CARD HDFC,19282,,132713,Bills
08-08-2025,UPI/NETFLIX.COM,649,,132064,Entertainment
08-08-2025,UPI/SPOTIFY,119,,131945,Entertainment
10-08-2025,UPI/SWIGGY,395,,131550,Food
11-08-2025,UPI/APOLLO PHARMACY,474,,131076,Health
11-08-2025,UPI/FLIPKART,619,,130457,Shopping
12-08-2025,ATM WDL-XXXX1234,7670,,122787,General
12-08-2025,BESCOM ELECTRICITY BILL,1423,,121364,Utilities
12-08-2025,UPI/AMAZON PAY,3037,,118327,Shopping
12-08-2025,UPI/DOMINOS,834,,117493,Food
13-08-2025,UPI/MCDONALDS,176,,117317,Food
15-08-2025,UPI/INDEPENDENCE DAY SALE,2800,,114517,Shopping
15-08-2025,UPI/JIO PREPAID RECHARGE,749,,113768,Utilities
16-08-2025,UPI/DMART,2081,,111687,Groceries
16-08-2025,UPI/DOMINOS,718,,110969,Food
16-08-2025,UPI/PETROL PUMP HP,1864,,109105,Transport
17-08-2025,UPI/DOMINOS,496,,108609,Food
18-08-2025,UPI/BLINKIT,404,,108205,Groceries
19-08-2025,UPI/DOMINOS,437,,107768,Food
19-08-2025,UPI/MCDONALDS,364,,107404,Food
20-08-2025,UPI/CAFE COFFEE DAY,380,,107024,Food
21-08-2025,UPI/APOLLO PHARMACY,762,,106262,Health
26-08-2025,UPI/FLIPKART,3238,,103024,Shopping
26-08-2025,UPI/ZOMATO,359,,102665,Food
27-08-2025,UPI/APOLLO PHARMACY,891,,101774,Health
27-08-2025,UPI/BIGBASKET,1220,,100554,Groceries
29-08-2025,UPI/DMART,984,,99570,Groceries
30-08-2025,UPI/AMAZON PAY,4419,,95151,Shopping
31-08-2025,UPI/BIGBASKET,3006,,92145,Groceries
31-08-2025,UPI/DMART,738,,91407,Groceries
31-08-2025,UPI/ZOMATO,587,,90820,Food
01-09-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,215820,Income
02-09-2025,NEFT DR-RENT-PROP MGMT,22000,,193820,Housing
03-09-2025,ACH DR-HDFC HOME LOAN EMI,28500,,165320,EMI
05-09-2025,ACH DR-SBI MF SIP GROWTH,10000,,155320,Investments
07-09-2025,BILLPAY-CREDIT CARD HDFC,17897,,137423,Bills
08-09-2025,UPI/NETFLIX.COM,649,,136774,Entertainment
08-09-2025,UPI/SPOTIFY,119,,136655,Entertainment
11-09-2025,UPI/DMART,749,,135906,Groceries
12-09-2025,BESCOM ELECTRICITY BILL,1898,,134008,Utilities
13-09-2025,UPI/BIGBASKET,3168,,130840,Groceries
13-09-2025,UPI/MYNTRA,1840,,129000,Shopping
15-09-2025,UPI/DMART,1835,,127165,Groceries
15-09-2025,UPI/JIO PREPAID RECHARGE,749,,126416,Utilities
16-09-2025,UPI/HOSPITAL,1593,,124823,Health
16-09-2025,UPI/MYNTRA,1488,,123335,Shopping
17-09-2025,UPI/CAFE COFFEE DAY,176,,123159,Food
17-09-2025,UPI/ZOMATO,719,,122440,Food
17-09-2025,UPI/ZOMATO,214,,122226,Food
18-09-2025,NEFT DR-INSURANCE LIC PREMIUM,5200,,117026,EMI
18-09-2025,UPI/BIGBASKET,1748,,115278,Groceries
18-09-2025,UPI/ZOMATO,296,,114982,Food
19-09-2025,UPI/RAPIDO,120,,114862,Transport
19-09-2025,UPI/PETROL PUMP HP,1514,,113348,Transport
20-09-2025,UPI/PETROL PUMP HP,1746,,111602,Transport
21-09-2025,UPI/CAFE COFFEE DAY,205,,111397,Food
21-09-2025,UPI/RELIANCE FRESH,1201,,110196,Groceries
22-09-2025,UPI/APOLLO PHARMACY,861,,109335,Health
22-09-2025,UPI/SWIGGY,590,,108745,Food
22-09-2025,UPI/ZOMATO,397,,108348,Food
23-09-2025,UPI/DOMINOS,791,,107557,Food
23-09-2025,UPI/FLIPKART,3874,,103683,Shopping
23-09-2025,UPI/MCDONALDS,491,,103192,Food
23-09-2025,UPI/MYNTRA,805,,102387,Shopping
23-09-2025,UPI/ZOMATO,215,,102172,Food
27-09-2025,UPI/RELIANCE FRESH,764,,101408,Groceries
